Sort,Fill,Table & Column,Type,Key/Index,Typical Values,Comments,Proposed Update,Validated?
49,1,"CitationLinkTable -
OwnerType",Integer,,"0,1,2,6,7,19"," 0 = Person,
 1 = Family,
 2 = Event,
 6 = Task,
 7 = Name,
19 = Association",,
50,1,"CitationLinkTable -
OwnerID",Integer,"Foreign Key,
idxCitationLinkOwnerID",,"Link to Primary Key of table based on OwnerType:
 0 = PersonTable.PersonID,
 1 = FamilyTable.FamilyID,
 2 = EventTable.EventID,
 6 = TaskTable.TaskID,
 7 = NameTable.NameID,
 19 = FanTable.FanID",,
51,1,"CitationLinkTable -
SortOrder",Integer,,"Null, or
0","Not Implemented:
Null = Legacy data,
0 =  New table entry",,
52,1,"CitationLinkTable -
Quality",Text,,[PS~]{DIN~][OX~],"3-Character Quality of this information:
 1st = (Info): P = Primary, S = Secondary,~ = Don't know
 2nd = (Evidence): D = Direct, I = Indirect, N = Negative, ~ = Don't know
 3rd = (Source): O = Original, X = Derivative, ~ = Don't know",,
53,1,"CitationLinkTable -
IsPrivate",Integer,,0,Not Implemented,,
54,1,"CitationLinkTable -
Flags",Integer,,0,Not Implemented,,
55,1,"CitationLinkTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
56,0,"CitationTable -
CitationID",Integer,Primary Key,"1,2,3...",Citation Identification Number,,
57,0,"CitationTable -
SourceID",Integer,"Foreign Key,
idxCitationSourceID","1,2,3...",Link to SourceID of SourceTable,,
58,0,"CitationTable -
Comments",Text,,User Defined,Detail Comment from Edit Citation pane. User Interface supports line breaks and formatting tags.,,
59,0,"CitationTable -
ActualText",Text,,User Defined,Research Note from Edit Citation pane. User Interface supports line breaks and formatting tags.,,
60,0,"CitationTable -
RefNumber",Text,,User Defined,Detail Ref# from Edit Citation pane.,,
61,0,"CitationTable -
Footnote",Text,,User Defined,"Value from Customize Footnote window, overrides sentence template output. User Interface supports line breaks and formatting tags.",,
62,0,"CitationTable -
ShortFootnote",Text,,User Defined,"Value from Customize Footnote window, overrides sentence template output. User Interface supports line breaks and formatting tags.",,
63,0,"CitationTable -
Bibliography",Text,,User Defined,"Value from Customize Footnote window, overrides sentence template output. User Interface supports line breaks and formatting tags.",,
64,0,"CitationTable -
Fields",Blob,,XML,Citation Detail field “Names” (from Source template) and “Values” (from Edit Citation pane),,
65,0,"CitationTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
66,0,"CitationTable -
CitationName",Text,idxCitationName,User Defined,"If left blank, field value is auto generated as the concatenation of all Citation Detail fields separated by semi-colons.",,
67,1,"ConfigTable -
RecID",Integer,Primary Key,"1, 2, 3...",Record Identification Number,,
68,1,"ConfigTable -
RecType",Integer,idxRecType,"1, 2, 3...","Record Type:
1 = Database Configuration settings
3 = Custom Report settings, from Publish menu
4 = 
5 = Standard Report settings, from Publish menu
6 = HTML Website settings, from Publish menu
7 = Problem Options, from General Settings menu or Problem Search
9 = Book settings, from Publish menu",,
69,1,"ConfigTable -
Title",Text,,"Built-in or
User Defined",Title - See Row 5 of ConfigTable Tab,,
70,1,"ConfigTable -
DataRec",Blob,,XML code,Data Record - See Row 40 of ConfigTable Tab,,
71,1,"ConfigTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
72,0,"DNATable -
RecID",Integer,Primary Key,"1, 2, 3…",Record Identification Number,See Change History Tab,Y
73,0,"DNATable -
ID1",Integer,"idxDnaId1,
 Foreign Key","1, 2, 3…","Person 1, from the DNA Match view of Edit Person Window. 
Links to PersonTable.PersonID.",See Change History Tab,Y
74,0,"DNATable -
ID2",Integer,"idxDnaId2,
 Foreign Key","1, 2, 3…","Person 2, from the DNA Match view of Edit Person Window. 
Links to PersonTable.PersonID.",See Change History Tab,Y
