Sort,Fill,Table & Column,Type,Key/Index,Typical Values,Comments,Proposed Update,Validated?
182,0,"MediaLinkTable -
OwnerID",Integer,"Foreign Key,
idxMediaOwnerID","1,2,3,…","Link based on OwnerType:
0 = PersonTable.PersonID, 
1 = FamilyTable.FamilyID,
2 = EventTable.EventID,
3 = SourceTable.SourceID,
4 = CitationTable.CitationID,
5 = PlaceTable.PlaceID,
6 = TaskTable.TaskID
7 =  NameTable.NameID,
14 = PlaceTable.PlaceID,
19 = FanTable.FanID",,
183,0,"MediaLinkTable -
IsPrimary",Integer,,"0,1","Primary Photo checkbox, from the Edit Media pane:
0 = Not checked (default),
1 = Checked. (Determines image displayed in reports, the Pedigree view, and the People Side View pane for the selected person.)",,
184,0,"MediaLinkTable -
Include1",Integer,,"0,1","Include in Scrapbook, from the Edit Media pane:
0 = Do Not Include (unchecked)
1 = Include (checked)",,
185,0,"MediaLinkTable -
Include2",Integer,,0,Not implemented,,
186,0,"MediaLinkTable -
Include3",Integer,,0,Not implemented,,
187,0,"MediaLinkTable -
Include4",Integer,,0,Not implemented,,
188,0,"MediaLinkTable -
SortOrder",Integer,,"0,1,2,3,…","Sort Order, from Media Album view in Edit Person window:
0 = (Default) Order by MediaLinkTable.LinkID,
Else, order set via the Rearrange window of Person's Media Album.

Note:  The default sort order for media links is the order in which the media links are added (MediaLinkTable.LinkiD). Within a fixed MediaLinkTable.OwnerType and MediaLinkTable.OwnerID, the sort order is effectively ""ORDER BY MediaLinkTable.SortOrder, MediaLinkTable.LinkID"". Because when SortOrder defaults to zero, the actual sort order defaults to LinkID.",See Change History Tab,Y
189,0,"MediaLinkTable -
RectLeft",Integer,,0,Not implemented,,
190,0,"MediaLinkTable -
RectTop",Integer,,0,Not implemented,,
191,0,"MediaLinkTable -
RectRight",Integer,,0,Not implemented,,
192,0,"MediaLinkTable -
RectBottom",Integer,,0,Not implemented,,
193,0,"MediaLinkTable -
Comments",Text,,"Blank or
User Defined","Media Tag Comment, from Add Media Tag window. (Select Tags from Edit Media pane of Media window, then add a new tag.)",,
194,0,"MediaLinkTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
195,1,"MultimediaTable -
MediaID",Integer,Primary Key,,Media Identification Number,,
196,1,"MultimediaTable -
MediaType",Integer,,"1,2,3,4","Media Type, from Add Media Item screen 
1 = Image, 
2 = File, 
3 = Sound, 
4 = Video",,
197,1,"MultimediaTable -
MediaPath",Text,,User Defined,"Relative file path of Media File, extracted from Filename field in Add Media window or Edit Media pane.
The first character in the MediaPath may be a symbol:
? = Media Folder defined in Folder Settings window,
~ = User's home directory defined by the Operating System
* = Folder containing the RM Database",,
198,1,"MultimediaTable -
MediaFile",Text,idxMediaFile,User Defined,"File name, extracted from Filename field in Add Media window or Edit Media pane",,
199,1,"MultimediaTable -
URL",Text,idxMediaURL,Blank,Not implemented,,
200,1,"MultimediaTable -
Thumbnail",Blob,,?PNG,Thumbnail,,
201,1,"MultimediaTable -
Caption",Text,,User Defined,"Caption, from Add Media window or Edit Media pane",,
202,1,"MultimediaTable -
RefNumber",Text,,User Defined,"Reference Number, from Add Media window or Edit Media pane",,
203,1,"MultimediaTable -
Date",Text,,Position coded string or free text,"Date, from Media Properties screen. [See Date sheet for additional details.]",,
204,1,"MultimediaTable -
SortDate",BigInt,,"12,15, or 19
digit number",,,
205,1,"MultimediaTable -
Description",Text,,User Defined,"Description, from Add Media window or Edit Media pane. 
User Interface supports line breaks and formatting tags",,
206,1,"MultimediaTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
207,0,"NameTable -
NameID",Integer,Primary Key,"1, 2, 3…",,,
208,0,"NameTable -
OwnerID",Integer,"Foreign Key,
idxNameOwnerID","1, 2, 3…","Link to PersonTable.PersonID (aka Record Identification Number - RIN).  
A single OwnerID can have multiple NameID's for Alternate Names.",,
209,0,"NameTable -
Surname",Text,"idxSurname,
idxSurnameGiven",User Defined,Surname,,
210,0,"NameTable -
Given",Text,"idxGiven,
idxSurnameGiven",User Defined,Given name,,
211,0,"NameTable -
Prefix",Text,,User Defined,"Name prefix, e.g., Dr., Rev., Lord, Lady...",,
212,0,"NameTable -
Suffix",Text,,User Defined,"Name suffix, e.g., Jr., Sr., III, ...",,
213,0,"NameTable -
Nickname",Text,,User Defined,Nickname,,
214,0,"NameTable -
NameType",Integer,,0-7,"0 - Null
1 - AKA
2 - Birth
3 - Immigrant
4 - Maiden
5 - Married
6 - Nickname
7 - Other Spelling",,
215,0,"NameTable -
Date",Text,,Position coded string or free text,"Date, from Alternate Name Fact. [See Date sheet for additional details.]",,
216,0,"NameTable -
SortDate",BigInt,,19 digit number,"Sort Date for Name Fact, from Edit Person window:
The Sort Date forces the Name fact into a position relative to other facts in the Edit Person window .
(Blank Date = 9223372036854775807)",,
217,0,"NameTable -
IsPrimary",Integer,idxNamePrimary,"0,1","1 = Name is listed in the Primary Name fact,
0 = Alternate Name,
Editable by selecting the Primary Checkbox in an Alternate Name fact.",,
218,0,"NameTable -
IsPrivate",Integer,,"0,1","Private checkbox in Edit Person Alternate Name Fact edit pane:  
0 = NOT selected (default), 
1 = Selected. 
Used to optionally suppress from reports events that are considered “private”.",,
219,0,"NameTable -
Proof",Integer,,"0,1,2,3","Set by Proof listbox in Edit Person Name Fact edit pane. 
0 = Blank (default), 
1 = Proven, 
2 = Disproven,
3 = Disputed",,
220,0,"NameTable -
Sentence",Text,,Sentence Template Language,"Customized sentence template for this Alternate Name, 
entered in Edit Person Alternate Name Customize Sentence window.
 User Interface supports line breaks and formatting tags.",See Change History Tab,Y
221,0,"NameTable -
Note",Text,,User Defined,"Note for Name Fact, from Edit Person window:
User Interface upports line breaks and formatting tags.",,
222,0,"NameTable -
BirthYear",Integer,"idxSurnameGiven,
idxSurnameGivenMP","Blank or
4-digits",Year extracted from EventTable.Date for Birth FactType for Person,,
223,0,"NameTable -
DeathYear",Integer,"idxSurnameGiven,
idxSurnameGivenMP","Blank or
4-digits",Year extracted from EventTable.Date for Death FactType for Person,,
224,0,"NameTable -
Display",Integer,,0,Not implemented,,
225,0,"NameTable -
Language",Text,,Blank,Not implemented,,
226,0,"NameTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
227,0,"NameTable -
SurnameMP",Text,"idxSurnameMP,
idxSurnameGivenMP",,Version of User Defined NameTable.Surname,,
228,0,"NameTable -
GivenMP",Text,"idxGivenMP,
idxSurnameGivenMP",,Version of User Defined NameTable.Surname,,
229,0,"NameTable -
NicknameMP",Text,,,Version of User Defined NameTable.Surname,,
230,1,"PayloadTable -
RecID",Integer,Primary Key,"1,2,3,...",Record Identification Number,,
231,1,"PayloadTable -
RecType",Integer,idxPayloadType,"1,2,3","1= Saved Search,
2 = Saved Group,
3 = Saved Task Filter",,
232,1,"PayloadTable -
OwnerType",Integer,,"8,20","8 = Saved Search,
20 = Saved Group",,
233,1,"PayloadTable -
OwnerID",Integer,Foreign Key,"0,1,2,3,...","Link based on RecType:
1 = ""0"" (not used),
2 = GroupTable.GroupID,
3 = ""0"" (not used)",See Change History Tab,Y
234,1,"PayloadTable -
Title",Text,,User Defined,Saved Name of Search or Group,,
235,1,"PayloadTable -
DataRec",Blob,,XML,Saved Criteria for Search or Group,,
236,1,"PayloadTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
237,0,"PersonTable -
PersonID",Integer,Primary Key,"1,2,3,...",Record Identification Number (RIN),,
238,0,"PersonTable -
UniqueID",Text,,"36 Character
Hexidecimal",Unique Identification Number assigned to person,,
239,0,"PersonTable -
Sex",Integer,,"0,1,2","0 = Male,
1 = Female,
2 = Unknown",,
240,0,"PersonTable -
ParentID",Integer,Foreign Key,"0,1,2,3,...","0 = No Parents,
Any other value = FamilyTable.FamilyID
If person has more than 1 set of parents, then value changes based on FamilyID of parent couple last displayed in Pedigree, Family, or Descendent View.",,
241,0,"PersonTable -
SpouseID",Integer,Foreign Key,"0,1,2,3,...","0 = No Spouse,
Any other value = FamilyTable.FamilyID
If person has more than 1 spouse, then value changes based on FamilyID of the couple last displayed in Pedigree, Family, or Descendent View.",,
242,0,"PersonTable -
Color",Integer,,0-27,"Set Color for Color Set 1, from Color Coding window:
0 = None, 
1 = Red, 
2 = Lime, 
3 = Blue, 
4 = Pink,
5 = Yellow, 
6 = Aqua, 
7 = Silver, 
8 = Maroon, 
9 = Green, 
10 = Navy, 
11 = Purple, 
12 = Brown, 
13 = Teal, 
14 = Grey,
15 = Apricot,
16 = Lemon,
17 = Chatreuse,
18 = Mint,
19 = Azure,
20 = Mauve,
21 = Orange,
22 = Turquoise,
23 = Khaki,
24 = Olive,
25 = Forest,
26 = Aubergine,
27 = Slate",,
243,0,"PersonTable -
Color1",Integer,,0-27,"Color Set 2, from Color Coding window:
See PersonTable.Color for values",,
244,0,"PersonTable -
Color2",Integer,,0-27,"Color Set 3, from Color Coding window:
See PersonTable.Color for values",,
245,0,"PersonTable -
Color3",Integer,,0-27,"Color Set 4, from Color Coding window:
See PersonTable.Color for values",,
246,0,"PersonTable -
Color4",Integer,,0-27,"Color Set 5, from Color Coding window:
See PersonTable.Color for values",,
247,0,"PersonTable -
Color5",Integer,,0-27,"Color Set 6, from Color Coding window:
See PersonTable.Color for values",,
248,0,"PersonTable -
Color6",Integer,,0-27,"Color Set 7, from Color Coding window:
See PersonTable.Color for values",,
249,0,"PersonTable -
Color7",Integer,,0-27,"Color Set 8, from Color Coding window:
See PersonTable.Color for values",,
250,0,"PersonTable -
Color8",Integer,,0-27,"Color Set 9, from Color Coding window:
See PersonTable.Color for values",,
251,0,"PersonTable -
Color9",Integer,,0-27,"Color Set 10, from Color Coding window:
See PersonTable.Color for values",,
252,0,"PersonTable -
Relate1",Integer,,0-999,"Relate1, number of generations from this person to Most Recent Common Ancestor with the person chosen via Tools > Set Relationships. Relate1&2 work in combinaton with PersonTable.Flags to describe the relationship between this person and the person defined in Tools>Set Relationships.",See Change History Tab,Y
253,0,"PersonTable -
Relate2",Integer,,"0,1,2,3,...","Relate2, number of generations from the person chosen via Tools > Set Relationships to the Most Recent Common Ancestor with this person. See Additional Details. ",See Change History Tab,Y
254,0,"PersonTable -
Flags",Integer,,0-10,"Prefix description added to Set Relationship display as defined by Relate1/Relate2 calculation:
0 = No prefix descriptor,
1 = ""Half"",
2 = ""Spouse of"" male blood relation (ie display uses ""Father, Uncle, Cousin""),
3 = ""Spouse of half"" male blood relation (ie display uses ""Father, Uncle, Cousin""),
6 = ""Spouse of"" female blood relation (ie display uses  ""Mother, Aunt, Cousin""),
7 = ""Spouse of half"" female blood relation (ie display uses  ""Mother, Aunt, Cousin""),
10 = ""Spouse of"" blood relation where sex is unknown (ie display uses ""Mother/Father, Aunt/Uncle, Cousin"")",See Change History Tab,Y
255,0,"PersonTable -
Living",Integer,,"0,1","Living, from Edit Person window:
0 = Deceased, 
1 = Living",,
256,0,"PersonTable -
IsPrivate",Integer,,0,Not Implementd,,
257,0,"PersonTable -
Proof",Integer,,0,Not implemented,,
258,0,"PersonTable -
Bookmark",Integer,,"0,1","Bookmark, from Sidebar Bookmarks view:
0 = Not Bookmarked,
1 = Bookmarked",,
259,0,"PersonTable -
Note",Text,,User Defined,"Note field from Edit Person screen, Person Fact.
User Interface supports line breaks and formatting tags.",,
260,0,"PersonTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
261,1,"PlaceTable -
PlaceID",Integer,Primary Key,,Place Identification Number,,
262,1,"PlaceTable -
PlaceType",Integer,,"0,1,2","0 = Place, from Edit Person screen for a fact, 
1 = LDS Temples, Built-In, 
2 = Place details, from Edit Person screen for a fact",,
263,1,"PlaceTable -
Name",Text,idxPlaceName,User Defined,"Place Name from Edit Place (PlaceType = 0),
Place Name, pre-defined (PlaceType = 1), 
Place Detail Name, from Edit Place Detail screen (PlaceType = 2)",,
264,1,"PlaceTable -
Abbrev",Text,idxPlaceAbbrev,User Defined,"Abbreviated place name, from Edit Place screen (PlaceType = 0 and 2), 
Abbreviation, pre-defined (PlaceType = 1)
",,
265,1,"PlaceTable -
Normalized",Text,,User Defined,"Standardized place name from Edit Place screen (PlaceType = 0 and 2), 
Standardized place name Blank for PlaceType = 1",,
266,1,"PlaceTable -
Latitude",Integer,,"0,
8-9 Digit Integer","Latitude in decimal degrees stored as an integer (ie multiplied by 1e7).
Pre-defined for LDS Temples (PlaceTable.PlaceType=1),
Else User Defined via Edit Place or Edit Place Details screen.",See Change History Tab,Y
267,1,"PlaceTable -
Longitude",Integer,,"0,
8-9 Digit Integer","Longitude in decimal degrees stored as an integer (ie multiplied by 1e7).
Pre-defined for LDS Temples (PlaceTable.PlaceType=1),
Else User Defined via Edit Place or Edit Place Details screen.",See Change History Tab,Y
268,1,"PlaceTable -
LatLongExact",Integer,,"0,1",,See Change History Tab,Y
269,1,"PlaceTable -
MasterID",Integer,,"0,1,2,3,...","0 for PlaceType = 0,1
PlaceID of Place, for PlaceType = 2 (Place Detail)",,
270,1,"PlaceTable -
Note",Text,,User Defined,"Place note, from Edit screen for PlaceType = 0 and 2. 
User Interface supports line breaks and formatting tags.",,
271,1,"PlaceTable -
Reverse",Text,idxReversePlaceName,,Name not reversed for PlaceType=2 (Place Details),,
272,1,"PlaceTable -
fsID",Integer,,,,,
273,1,"PlaceTable -
anID",Integer,,,,,
274,1,"PlaceTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
275,0,"RoleTable -
RoleID",Integer,Primary Key,"1,2,3,…",RoleIDs = 1 – 58  are pre-defined in built-in Fact Types,,
276,0,"RoleTable -
RoleName",Text,,"Built-in or
User Defined","Role name, from Edit Role Type window.
Displays with fact in Edit Person window when a fact is shared.  ",,
277,0,"RoleTable -
EventType",Integer,"Foreign Key
idxRoleEventType","1,2,3,…","Event Type, links to FactTypeID in FactTypeTable",,
278,0,"RoleTable -
RoleType",Integer,,0,Not Implemented,,
279,0,"RoleTable -
Sentence",Text,,Sentence Template Language,"Sentence template for this role, from Edit Fact Type/Edit Role Type screen. User Interface supports line breaks and formatting tags.",See Change History Tab,Y
280,0,"RoleTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
281,1,"SourceTable -
SourceID",Integer,Primary Key,"1,2,3,...",Source Identification Number,,
282,1,"SourceTable -
Name",Text,idxSourceName,User Defined,"Source Name, from Edit Source pane or Edit Citation pane",,
283,1,"SourceTable -
RefNumber",Text,,User Defined,"Source Ref#, from Edit Source pane or Edit Citation pane",,
284,1,"SourceTable -
ActualText",Text,,User Defined,"Source Text, from Edit Source pane or Edit Citation pane",,
285,1,"SourceTable -
Comments",Text,,User Defined,"Source Comment,  from Edit Source pane or Edit Citation pane",,
286,1,"SourceTable -
IsPrivate",Integer,,0,Not Implemented,,
287,1,"SourceTable -
TemplateID",Integer,Foreign Key,"0,1,2,3,...","Template Identification Number:
0 = Free-Form, 
Else, links to TemplateID in SourceTemplateTable",,
288,1,"SourceTable -
Fields",Blob,,XML,"Master Source Field ""Names""  (from Source template) and ""Values"" (from Edit Source pane). 
For Free-Form sources, XML contains  Footnote, Short Footnote, and Bibliography plus associated values.",,
289,1,"SourceTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
290,0,"SourceTemplateTable -
TemplateID",Integer,Primary Key,"1,2,3,…","Template Identification Number:
1 - 439 = Built-In (See Source Template window), 
10,000+ = User-Defined",,
291,0,"SourceTemplateTable -
Name",Text,idxSourceTemplateName,"Built-in or
User Defined","Template Name, from Source Template window.
Only user-defined templates are editable.",,
292,0,"SourceTemplateTable -
Description",Text,,"Built-in or
User Defined","Description Details, from Source Template Description window.
Only user-defined templates are editable.",,
293,0,"SourceTemplateTable -
Favorite",Integer,,"0,1","0 = Not a Favorite (Default),
1 = Template starred as Favorite from Select Source Type screen of Add Source window",,
294,0,"SourceTemplateTable -
Category",Text,,"Built-in or
User Defined","Category Details, from Source Template Description window.
Only user-defined templates are editable.",,
295,0,"SourceTemplateTable -
Footnote",Text,,"Built-in or
User Defined","Footnote Template, from Source Templates window.
User Interface supports line breaks and formatting tags but only user-defined templates are editable.",,
296,0,"SourceTemplateTable -
ShortFootnote",Text,,"Built-in or
User Defined","Short Footnote Template, from Source Template window.
User Interface supports line breaks and formatting tags but only user-defined templates are editable.",,
297,0,"SourceTemplateTable -
Bibliography",Text,,"Built-in or
User Defined","Bibliography Template, from Source Template window.
User Interface supports line breaks and formatting tags but only user-defined templates are editable.",,
298,0,"SourceTemplateTable -
FieldDefs",Blob,,XML,"From Source Template Field window:
Field Name, Display Name, Field Type, Brief hint, Long hint, and True/False flag to identify whether the field is located in the source or citation.",,
299,0,"SourceTemplateTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
300,1,"TagTable -
TagID",Integer,Primary Key,"1,2,3,...",Tag Identification Number,,
301,1,"TagTable -
TagType",Integer,idxTagType,"0,1","0 = Group,
1 = Folder",,
302,1,"TagTable -
TagValue",Integer,Foreign Key,"1,2,3,...","If TagValue >1000, links to GroupTable.GroupID
Else, incremental placeholder for Task Folders.",See Change History Tab,Y
303,1,"TagTable -
TagName",Text,,User Defined,Name of Group or Task Folder,,
304,1,"TagTable -
Description",Text,,User Defined,"Description of Task Folder,
Blank for Groups.",,
305,1,"TagTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
306,0,"TaskLinkTable -
LinkID",Integer,Primary Key,"1,2,3,...",Link Identification Number,,
307,0,"TaskLinkTable -
TaskID",Integer,Foreign Key,"1,2,3,...",Links to TaskID in TaskTable,,
308,0,"TaskLinkTable -
OwnerType",Integer,,"0,1,2,5,7,14,18,19","0 = Person,
1 = Family,
2 = Event,
5 = Place, 
7 = Name, 
14 = Place Detail, 
18 = Folder, 
19 = Association ",,
309,0,"TaskLinkTable -
OwnerID",Integer,"Foreign Key,
idxTaskOwnerID","1,2,3,...","Link based on OwnerType:
0 = PersonTable.PersonID,
1 = FamilyTable.FamilyID,
2 = EventTable.Eventid,
5 = PlaceTable.PlaceID,
7 = NameTable.NameID,
14 = PlaceTable.PlaceID,
18 = TagTable.TagID,
19 = FanTable.FanID",,
310,0,"TaskLinkTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
311,1,"TaskTable -
TaskID",Integer,Primary Key,"1,2,3,...",Task Identification Number,,
312,1,"TaskTable -
TaskType",Integer,,"0,1,2,3","From Add Task window or Edit Task pane:
0 = Blank,
1 = Research, 
2 = ToDo, 
3 = Correspondence",,
313,1,"TaskTable -
RefNumber",Text,,User Defined,"Reference #, from Add Task window or Edit Task pane.",,
314,1,"TaskTable -
Name",Text,idxTaskName,User Defined,"Name, from Add Task window or Edit Task pane. ",,
315,1,"TaskTable -
Status",Integer,,"0,1,2,3,4,5","Status, From Add Task window or Edit Task pane:
0 = New,
1 = In Progress,
2 = Completed,
3 = On hold,
4 = Problem,
5 = Cancelled",,
316,1,"TaskTable -
Priority",Integer,,"0,1,2,3,4,5,6,7","From Add Task window or Edit Task pane:
0 = Priority 1 (Highest),
1 = Priority 2 (Very High),
2 = Priority 3 (High),
3 = Priority 4 (Med high),
4 = Priority 5 (Medium),
5 = Priority 6 (Med low),
6 = Priority 7 (Low),
7= Priority 8 (Very Low)",,
317,1,"TaskTable -
Date1",Text,,Position coded string or free text,"Start Date, from Edit Task screen.
[See Date sheet for additional details.] ",,
318,1,"TaskTable -
Date2",Text,,Position coded string or free text,"Last Edit Date, from Edit Task screen.
[See Date sheet for additional details.] ",,
319,1,"TaskTable -
Date3",Text,,Position coded string or free text,"End Date, from Edit Task screen.
[See Date sheet for additional details.] ",,
320,1,"TaskTable -
SortDate1",BigInt,,"0 or
19 digit number",,,
321,1,"TaskTable -
SortDate2",BigInt,,"0 or
19 digit number",,,
322,1,"TaskTable -
SortDate3",BigInt,,"0 or
19 digit number",,See Change History Tab,Y
323,1,"TaskTable -
Filename",Text,,User Defined,"File name and path, from Add Task window or Edit Task pane. ",,
324,1,"TaskTable -
Details",Text,,User Defined,"Details, from Add Task window or Edit Task pane. 
User Interface supports line breaks and formatting tags.",,
325,1,"TaskTable -
Results",Text,,User Defined,"Results, from Add Task window or Edit Task pane. 
User Interface supports line breaks and formatting tags.",,
326,1,"TaskTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
327,1,"TaskTable -
Exclude",Integer,,"0,1","From Filter Tasks window:
0 = Display Task in list (default),
1= Filter from Task list",,
328,0,"URLTable -
LinkID",Integer,Primary Key,"1,2,3,...",Link or WebTag Identification Number,,
329,0,"URLTable -
OwnerType",Integer,,"3,4,5,6,14","Owner Type:
3 = Source,
4 = Citation,
5 = Place,
6 = Task,
14 = Place Details",,
330,0,"URLTable -
OwnerID",Integer,"Foreign Key,
idxURLOwnerID","1,2,3,...","Owner Identification, link based on OwnerType:
3 = SourceTable.SourceID,
4 = CitationTable.CitationID, 
5 = PlaceTable.PlaceID,
6 = Tasktable.TaskID,
14 = PlaceTable.PlaceID",,
331,0,"URLTable -
LinkType",Integer,,0,Not Implemented,,
332,0,"URLTable -
Name",Text,,User Defined,"Name, from Edit Web Tag window",,
333,0,"URLTable -
URL",Text,,User Defined,"URL, from Edit Web Tag window",,
334,0,"URLTable -
Note",Text,,User Defined,"Note, from Edit Web Tag window. 
User Interface supports line breaks and formatting tags",,
335,0,"URLTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
336,1,"WitnessTable -
WitnessID",Integer,Primary Key,"1,2,3,...",Witness Identification Number,,
337,1,"WitnessTable -
EventID",Integer,"Foreign Key,
idxWitnessEventID","1,2,3,...","Event Identification Number, linking to EventID of EventTable",,
338,1,"WitnessTable -
PersonID",Integer,"Foreign Key,
idxWitnessPersonID","0,1,2,3,...","Person that the fact has been shared with:
0 = This person is NOT in RM database,
Else, PersonTable.PersonID",,
339,1,"WitnessTable -
WitnessOrder",Integer,,0,Not Implemented,,
340,1,"WitnessTable -
Role",Integer,Foreign Key,"1,2,3,...","Role, from Edit shared event screen,
Links to RoleID in RoleTable",,
341,1,"WitnessTable -
Sentence",Text,,Sentence Template Language,"From Edit Person window of person that the fact has been shared with:
Blank (Default) = Role Sentence not customized,
Else, customized sentence",See Change History Tab,Y
342,1,"WitnessTable -
Note",Text,,User Defined,"Note, from Edit Witness pane of Edit Person window for person that the fact has been shared with. 
User Interface supports line breaks and formatting tags.",,
343,1,"WitnessTable -
Given",Text,,User Defined,"From Edit Witness pane of Edit Person window for person that the fact has been shared with:
Blank (Default) = Person is in RM database,
Else, First name of person",,
344,1,"WitnessTable -
Surname",Text,,User Defined,"From Edit Witness pane of Edit Person window for person that the fact has been shared with:
Blank (Default) = Person is in RM database,
Else, Last name of person",,
345,1,"WitnessTable -
Prefix",Text,,,Not Implemented,,
346,1,"WitnessTable -
Suffix",Text,,,Not Implemented,,
347,1,"WitnessTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
